"","Country.Province","Lat","Long","pos_mean","pos_std","pos_sum"
"230","Slovenia/",46.1512,14.9955,57848.9190371991,57848.9190371991,26436956
"231","Solomon Islands/",-9.6457,160.1562,6.73522975929978,6.73522975929978,3078
"232","Somalia/",5.152149,46.199616,3682.54704595186,3682.54704595186,1682924
"233","South Africa/",-30.5595,22.9375,626975.035010941,626975.035010941,286527591
"234","South Sudan/",6.877,31.307,2966.22757111597,2966.22757111597,1355566
"235","Spain/",40.463667,-3.74922,1130370.95185996,1130370.95185996,516579525
"236","Sri Lanka/",7.873054,80.771797,23446.7658643326,23446.7658643326,10715172
"237","Sudan/",12.8628,30.2176,13907.5667396061,13907.5667396061,6355758
"238","Suriname/",3.9193,-56.0278,3760.80306345733,3760.80306345733,1718687
"239","Sweden/",60.128161,18.643501,229037.242888403,229037.242888403,104670020
"240","Switzerland/",46.8182,8.2275,199121.085339168,199121.085339168,90998336
"241","Syria/",34.802075,38.996815,5753.90153172866,5753.90153172866,2629533
"242","Taiwan*/",23.7,121,551.336980306346,551.336980306346,251961
"243","Tajikistan/",38.861,71.2761,7649.55361050328,7649.55361050328,3495846
"244","Tanzania/",-6.369028,34.888822,407.544857768053,407.544857768053,186248
"245","Thailand/",15.870032,100.992541,8006.79868708972,8006.79868708972,3659107
"246","Timor-Leste/",-8.874217,125.727539,92.5929978118162,92.5929978118162,42315
"247","Togo/",8.6195,0.8248,2636.12910284464,2636.12910284464,1204711
"248","Trinidad and Tobago/",10.6918,-61.2225,3432.39387308534,3432.39387308534,1568604
"249","Tunisia/",33.886917,9.537499,71962.6126914661,71962.6126914661,32886914
"250","Turkey/",38.9637,35.2433,949472.643326039,949472.643326039,433908998
"251","US/",40,-100,10584080.0525164,10584080.0525164,4836924584
"252","Uganda/",1.373333,32.290275,14080.9956236324,14080.9956236324,6435015
"253","Ukraine/",48.3794,31.1656,504130.824945295,504130.824945295,230387787
"254","United Arab Emirates/",23.424076,53.847818,139693.168490153,139693.168490153,63839778
"255","United Kingdom/Anguilla",18.2206,-63.0686,7.06345733041575,7.06345733041575,3228
"256","United Kingdom/Bermuda",32.3078,-64.7505,342.754923413567,342.754923413567,156639
"257","United Kingdom/British Virgin Islands",18.4207,-64.64,55.6695842450766,55.6695842450766,25441
"258","United Kingdom/Cayman Islands",19.3133,-81.2546,224.494529540481,224.494529540481,102594
"259","United Kingdom/Channel Islands",49.3723,-2.3644,1439.2932166302,1439.2932166302,657757
"260","United Kingdom/Falkland Islands (Malvinas)",-51.7963,-59.5236,20.1006564551422,20.1006564551422,9186
"261","United Kingdom/Gibraltar",36.1408,-5.3536,1249.70897155361,1249.70897155361,571117
"262","United Kingdom/Isle of Man",54.2361,-4.5481,413.35010940919,413.35010940919,188901
"263","United Kingdom/Montserrat",16.742498,-62.187366,11.6323851203501,11.6323851203501,5316
"264","United Kingdom/Saint Helena, Ascension and Tristan da Cunha",-7.9467,-14.3559,1.61487964989059,1.61487964989059,738
"265","United Kingdom/Turks and Caicos Islands",21.694,-71.7979,672.586433260394,672.586433260394,307372
"266","United Kingdom/",55.3781,-3.436,1348587.92560175,1348587.92560175,616304682
"267","Uruguay/",-32.5228,-55.7658,18906.8380743982,18906.8380743982,8640425
"268","Uzbekistan/",41.377491,64.585262,40935.2625820569,40935.2625820569,18707415
"269","Vanuatu/",-15.3767,166.9592,0.564551422319475,0.564551422319475,258
"270","Venezuela/",6.4238,-66.5897,61689.7592997812,61689.7592997812,28192220
"271","Vietnam/",14.058324,108.277199,1023.75054704595,1023.75054704595,467854
"272","West Bank and Gaza/",31.9522,35.2332,67144.3435448578,67144.3435448578,30684965
"273","Yemen/",15.552727,48.516388,1581.59080962801,1581.59080962801,722787
"274","Zambia/",-13.133897,27.849332,22049.8905908096,22049.8905908096,10076800
"275","Zimbabwe/",-19.015438,29.154857,11075.3457330416,11075.3457330416,5061433
